Abhik	O
Banerjee	O
222	O
Senator	O
Place,	O
Apt	O
#49	O
Cincinnati,	O
OH	O
45220	O
513-364-6591	O
banerjee.abhik@yahoo.co.in	O
http://homepages.uc.edu/~banerjak/	O
EDUCATION	O
University	O
of	O
Cincinnati	O
Master	O
of	O
Science	O
in	O
Computer	O
Science	O
Cincinnati,OH	O
2009	O
-	O
present	O
Maintained	O
a	O
GPA	O
of	O
4.0/4.0	O
throughout.	O
Specializing	O
in	O
Data	O
Mining,	O
Algorithms	O
for	O
finding	O
associations	O
in	O
gene	O
Network	O
using	O
Semantic	O
Web	O
techniques.	O
Research	O
Interests:	O
Data	O
Mining,	O
Algorithms,	O
Graph	O
Mining,	O
Information	O
Retrieval,	O
MapReduce/Hadoop.	O
(Publication):-	O
"Measuring	O
the	O
Degree	O
Of	O
Similarity	O
Between	O
Web	O
Ontologies"	O
(Abhik	O
Banerjee,	O
Hareendra	O
Munimadugu,	O
Srinivasa	O
Vedanarayanan	O
and	O
Dr.	O
Lawrence	O
J	O
Mazlack)	O
Proceedings	O
of	O
the	O
14th	O
WSEAS	O
International	O
Conference	O
on	O
Computers,	O
Corfu,	O
July	O
23-25,	O
2010	O
UTKAL	O
UNIVERSITY	O
(Now	O
BPUT)	O
Bachelor	O
of	O
Engineering,	O
Computer	O
Science	O
Orissa,	O
India	O
2002-2006	O
Independently	O
taught	O
Computer	O
Science	O
course,	O
to	O
a	O
freshmen	O
class	O
on	O
C	O
and	O
Data	O
Structure.	O
Highest	O
Aggregate	O
score	O
in	O
the	O
department	O
for	O
the	O
class	O
of	O
2006	O
(Branch	O
Topper).	O
Completed	O
two	O
Web	O
Development	O
projects	O
in	O
J2EE	O
and	O
Oracle	Companies
(build	O
an	O
Online	O
bidding	O
System	O
and	O
the	O
other	O
for	O
an	O
Insurance	O
Firm.)	O
EXPERIENCE	O
Cincinnati	O
Children’s	O
Hospital	O
Medical	O
Center	O
BMI	O
R	O
&D	O
Student	O
Researcher	O
Cincinnati,OH	O
2010-Present	O
·	O
Used	O
various	O
technologies	O
like	O
JSP,	O
JAVA,	O
AJAX,	O
JPA,	O
JavaScript,	O
Prototypejs,	O
Apache	O
Tomcat,	O
Firebug,	O
Oracle	Companies
11i	O
for	O
the	O
maintenance	O
and	O
development	O
of	O
additional	O
features	O
for	O
the	O
following	O
website	O
-	O
http://gataca.cchmc.org/gataca/	O
and	O
http://toppgene.cchmc.org	O
·	O
Found	O
hidden	O
associations	O
between	O
gene	O
ontologies	O
and	O
disease	O
records	O
using	O
Ontologies,	O
and	O
then	O
applying	O
graph	O
mining/Data	O
Mining	O
algorithms	O
to	O
find	O
new	O
associations.	O
(These	O
algorithms	O
can	O
be	O
widely	O
applied	O
to	O
any	O
data	O
which	O
has	O
been	O
collected	O
from	O
various	O
other	O
social	O
communities	O
like	O
Facebook,	O
Twitter	O
etc.)	O
·	O
Parsed	O
huge	O
XML	O
files	O
from	O
NCBI	O
database	O
for	O
further	O
processing	O
and	O
finding	O
the	O
associations	O
between	O
various	O
genes,	O
diseases	O
and	O
Pubmed	O
Ids	O
using	O
XML,	O
XSLT,	O
XPath,	O
XML	O
Databases,.	O
McAfee	O
India	O
Center	O
Software	O
QA	O
Engineer	O
Bangalore,	O
India	O
2008-2009	O
·	O
Worked	O
as	O
a	O
Software	O
QA	O
Engineer	O
testing	O
the	O
various	O
products	O
on	O
a	O
release	O
basis,	O
their	O
installation,	O
customizations,	O
unisntallation,	O
reinstallation,	O
product	O
expiry	O
etc.	O
·	O
Optimized	O
the	O
overall	O
time	O
of	O
testing	O
by	O
configuring	O
an	O
ESXI	O
Vmware	O
server	O
and	O
ran	O
automated	O
scripts	O
